"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"convenu";1,3420589643249;-1,71533580424679;-0,973586596109431;0,562552663684715;-0,719019619438407;-0,408099604807307;0,391369264372139;0,483032663412753;0,125598072215108;0,000229276818906711;0,000374554706326342;0,000120660779071237;0,00012729664361183;1,29294036112573;0,000212801134310001
"contrôler";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"contrevaleur";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"contradiction";0,798662246338394;0,627435104924167;-0,0268329871311406;0,786084810523293;0,617554176162973;-0,0264104177973369;0,681678369010266;0,317852405574571;0,000469225415164348;8,11976132379543e-05;5,01134821009717e-05;9,16547543234127e-08;0,00012729664361183;0,583006842954857;4,32677445918686e-05
"contexte";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"confusion";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"confirmation";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"condamner";-1,50000966082213;-1,03300949669229;-0,877650065874563;-0,74194224729802;-0,510952300824517;-0,434107645586318;0,638135301804136;0,22864829066907;0,133216407526795;0,000286421137509195;0,000135839345727897;9,80527396100001e-05;0,00012729664361183;1,13171722078765;0,000163039487566596
"concerter";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"comptoir";0,223231699564676;0,860357052845372;3,26358241721496;0,0659969025640622;0,254358591085711;0,9648554896941;0,0070146267216508;0,0787199759561513;0,914265397322199;6,34349620535502e-06;9,42267906454925e-05;0,00135583275690006;0,00012729664361183;1,60640052212896;0,000328491870517614
