quel;2;3;0;0
presque;1;3;0;1
personne;2;1;0;2
nous_mêmes;1;2;1;1
moi_même;0;0;0;5
ceci;2;1;1;1
56;2;0;2;1
31;1;0;1;3
250;0;0;0;5
25;3;0;0;2
20;3;1;0;1
18;4;1;0;0
17;1;1;0;2
vite;0;4;0;0
toutefois;0;0;1;3
soudain;0;2;1;1
sinon;1;1;1;1
sic;4;0;0;0
g;0;0;0;3
franco;3;0;0;1
eux_mêmes;2;2;0;0
comment;0;2;1;1
autour;1;2;1;0
800;0;0;2;2
54;0;0;1;2
53;0;0;3;1
28;0;2;1;1
27;3;1;0;0
21;4;0;0;0
16;1;0;2;1
vôtre;0;1;1;1
unes;0;2;1;0
puisque;0;2;1;0
puisqu;0;1;1;1
près;3;0;0;0
o;0;2;1;0
moindre;0;2;1;0
lendemain;0;2;0;1
jusqu_au;3;0;0;0
f;0;1;2;0
dix;2;0;1;0
demi;1;1;1;0
ci_après;1;0;1;1
certaine;0;2;1;0
autrefois;0;1;1;1
assez;0;1;0;2
59;2;0;1;0
52;0;0;0;3
45;1;0;0;2
26;3;0;0;0
23;1;0;1;1
19;3;0;0;0
100;0;0;3;0
