"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";0,13454145475951;0,450709085750448;1,53599562319344;0,0837533684197279;0,280570803819911;0,956172263413972;0,011241203295955;0,095307672113526;0,89345112459052;0,00505551978899464;0,0567343654947693;0,658921278631881;0,279288836084355;0,764803684954587;0,163362932102321
"classe 2";-0,465447643859777;1,18191621618028;-0,957085002008386;-0,292648767586435;0,743126168149181;-0,601764237091285;0,118344073495072;0,576518033656302;0,305137892848627;0,0613788499494601;0,395776913277072;0,259524340308072;0,283319896465397;0,815450930735609;0,18839646080798
"classe 3";-1,12335698321934;-1,40269103505213;-0,141052695719457;-0,623186847216033;-0,778148546553037;-0,0782495556175021;0,457131529545264;0,538473472684863;0,00439499776987489;0,296969017547948;0,463019845861477;0,00468207476683919;0,235329061823737;1,00137663663627;0,235977433018703
"classe 4";1,77496427798385;-0,646555501353641;-0,616797224483223;0,89319779802593;-0,325359759220956;-0,310384794539473;0,851873679088748;0,0853969305151277;0,0627293903961248;0,636596612713598;0,0844688753666819;0,0768723062932087;0,202062205626512;1,15905026537558;0,271449865453015
