"";"V1";"V2";"V3"
"1";"accroissement";"-1.86387823017182";"-2.67759218334967"
"2";"transport";"-1.46313608085973";"-2.55731013596181"
"3";"hirsch";"2.94502756157326";"-1.23420761469535"
"4";"discuter";"2.12397557455127";"-0.53608019441862"
"5";"cordialement";"2.94502756157326";"-1.23420761469535"
"6";"augmentation";"-1.86387823017182";"-2.67759218334967"
"7";"confidentiel";"2.6728479753724";"-1.02475114794127"
"8";"communication";"2.6728479753724";"-1.02475114794127"
"9";"interministériel";"2.49139491790516";"-0.885113503438559"
"10";"prélèvement";"-1.65516723719817";"-2.32379725973016"
"11";"participation";"-0.388193420866517";"1.46127986266102"
"12";"fonctionnaire";"2.94502756157326";"-1.23420761469535"
"13";"communiquer";"2.94502756157326";"-1.23420761469535"
"14";"protection";"-1.86387823017182";"-2.67759218334967"
"15";"extérieur";"-1.86387823017182";"-2.67759218334967"
"16";"contingent";"-1.86387823017182";"-2.67759218334967"
"17";"salaire";"-1.63197712686777";"-2.28448671266133"
"18";"perspective";"-0.779664944150573";"1.76926765479561"
"19";"organisme";"-0.205335585484747";"0.963999102616512"
"20";"responsable";"0.367089336258106";"0.80212656586507"
"21";"peuple";"-0.517738149328296";"1.65985444513399"
"22";"exercer";"-0.18458013774646";"0.785721893981288"
"23";"initiative";"-0.372586608151202";"0.989233977066432"
"24";"profession";"2.19195739619789";"-1.16908960480671"
"25";"allocation";"2.09240697402915";"-1.029509722429"
"26";"douane";"-1.44645624422452";"-1.97000233611066"
"27";"comporter";"-1.27382708019241";"-2.03987892048702"
"28";"accroître";"-1.44645624422452";"-1.97000233611066"
"29";"schuman";"0.339586233843309";"0.830644519537528"
"30";"mener";"-0.513615479456013";"1.55473370697483"
"31";"professeur";"2.94502756157326";"-1.23420761469534"
"32";"jeudi";"2.94502756157326";"-1.23420761469534"
"33";"désignation";"0.223231699564676";"0.860357052845372"
"34";"constamment";"-0.893562045239317";"1.70796164773668"
"35";"clairement";"-0.661660941935262";"2.10106711842502"
"36";"accomplir";"-0.893562045239317";"1.70796164773668"
"37";"constitution";"-0.28060531516596";"1.42293347958837"
"38";"forme";"-0.389950151534128";"0.740419656104157"
"39";"minerai";"-0.0376570416523861";"0.418113398320992"
"40";"conforme";"-0.0376570416523861";"0.418113398320992"
"41";"opposition";"-0.542540778656424";"1.93404845575083"
"42";"dangereux";"-0.772272522122754";"2.25615587662247"
"43";"nouveau";"-0.509944562778301";"0.667108746915732"
"44";"fonction";"0.0787497892634226";"0.942097580651901"
"45";"position";"0.264942339857266";"0.606362799642217"
"46";"décision";"0.359914836341898";"0.545163753651646"
"47";"indépendamment";"-0.647834494411825";"2.08168102365034"
"48";"territorial";"0.223231699564677";"0.860357052845372"
"49";"tarder";"0.223231699564677";"0.860357052845372"
"50";"signataire";"0.223231699564677";"0.860357052845372"
"51";"protocole";"0.223231699564677";"0.860357052845372"
"52";"franco_allemand";"0.223231699564677";"0.860357052845372"
"53";"composition";"0.223231699564677";"0.860357052845372"
"54";"associer";"0.0810168107521864";"1.05975688481353"
"55";"conclusion";"0.417884993928245";"0.884273165001"
"56";"prendre";"0.147195911822053";"0.434024916186504"
