%%MatrixMarket matrix coordinate integer general
1798 1532 23633
6 1 1
28 1 1
32 1 1
45 1 1
57 1 1
60 1 1
119 1 1
122 1 1
123 1 1
124 1 1
125 1 1
129 1 1
131 1 1
135 1 1
137 1 1
140 1 1
141 1 1
186 1 1
187 1 1
196 1 1
197 1 1
204 1 1
206 1 1
208 1 1
211 1 1
212 1 1
218 1 1
223 1 1
239 1 1
244 1 1
247 1 1
260 1 1
262 1 1
264 1 1
306 1 1
316 1 1
359 1 1
388 1 1
389 1 1
390 1 1
392 1 1
394 1 1
397 1 1
398 1 1
399 1 1
409 1 1
420 1 1
447 1 1
473 1 1
481 1 1
483 1 1
490 1 1
491 1 1
495 1 1
498 1 1
511 1 1
512 1 1
514 1 1
522 1 1
539 1 1
541 1 1
542 1 1
543 1 1
553 1 1
558 1 1
597 1 1
600 1 1
608 1 1
615 1 1
619 1 1
621 1 1
623 1 1
628 1 1
630 1 1
632 1 1
634 1 1
640 1 1
642 1 1
644 1 1
648 1 1
650 1 1
651 1 1
652 1 1
653 1 1
654 1 1
656 1 1
659 1 1
660 1 1
661 1 1
662 1 1
663 1 1
666 1 1
685 1 1
686 1 1
687 1 1
691 1 1
692 1 1
693 1 1
694 1 1
711 1 1
739 1 1
743 1 1
782 1 1
823 1 1
825 1 1
882 1 1
923 1 1
924 1 1
931 1 1
932 1 1
940 1 1
943 1 1
947 1 1
948 1 1
951 1 1
956 1 1
959 1 1
962 1 1
963 1 1
964 1 1
965 1 1
971 1 1
983 1 1
984 1 1
988 1 1
991 1 1
1007 1 1
1018 1 1
1021 1 1
1028 1 1
1045 1 1
1056 1 1
1066 1 1
1074 1 1
1082 1 1
1083 1 1
1088 1 1
1090 1 1
1091 1 1
1096 1 1
1098 1 1
1100 1 1
1123 1 1
1171 1 1
1189 1 1
1191 1 1
1193 1 1
1198 1 1
1208 1 1
1212 1 1
1213 1 1
1218 1 1
1219 1 1
1225 1 1
1231 1 1
1232 1 1
1255 1 1
1257 1 1
1258 1 1
1320 1 1
1359 1 1
1361 1 1
1363 1 1
1368 1 1
1373 1 1
1376 1 1
1382 1 1
1384 1 1
1385 1 1
1394 1 1
