"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"souffrir";0,406;0,32;0,452;0,482;0,636;0,504
"sain";0,406;0,477;0,452;0,406;0,001;0,504
"résumé";0,406;0,477;0,452;0,406;0,001;0,504
"régulièrement";0,406;0,32;0,452;0,482;0,636;0,504
"réciproque";0,406;0,477;0,452;0,482;0,059;0,504
"retourner";0,482;0,477;0,452;0,482;0,636;0,504
"restriction";0,406;0,477;0,452;0,025;0,636;0,504
"relater";0,406;0,007;0,452;0,406;0,636;0,504
"ramener";0,406;0,32;0,452;0,025;0,344;0,504
"quotidien";0,406;0,477;0,452;0,482;0,059;0,504
"publiquement";0,406;0,477;0,452;0,482;0,059;0,504
"publier";0,482;0,477;0,452;0,482;0,344;0,265
"psychologique";0,406;0,477;0,452;0,025;0,636;0,504
"préoccuper";0,406;0,477;0,375;0,482;0,636;0,504
"précisément";0,406;0,32;0,452;0,406;0,059;0,504
"prospérité";0,406;0,477;0,452;0,025;0,636;0,504
"posséder";0,406;0,477;0,375;0,482;0,636;0,504
"populaire";0,406;0,477;0,452;0,025;0,636;0,504
"petit";0,406;0,32;0,452;0,482;0,636;0,504
"perte";0,406;0,32;0,452;0,406;0,059;0,504
"payer";0,406;0,32;0,452;0,406;0,059;0,504
"ouverture";0,406;0,32;0,452;0,025;0,344;0,504
"ottawa";0,406;0,32;0,452;0,406;0,059;0,504
"ordinaire";0,406;0,477;0,452;0,406;0,001;0,504
"nancière";0,406;0,477;0,452;0,482;0,059;0,504
"lourd";0,406;0,477;0,452;0,482;0,059;0,504
"lire";0,406;0,32;0,452;0,025;0,344;0,504
"intime";0,406;0,477;0,452;0,025;0,636;0,504
"indirectement";0,406;0,477;0,452;0,482;0,636;0,265
"incessamment";0,406;0,477;0,011;0,482;0,344;0,504
"ignorer";0,406;0,007;0,452;0,482;0,344;0,504
"hypothèse";0,406;0,32;0,452;0,406;0,636;0,265
"heurter";0,406;0,477;0,452;0,406;0,059;0,265
"harmonisation";0,406;0,477;0,011;0,406;0,636;0,504
"fur_et_à_mesure";0,406;0,477;0,375;0,406;0,636;0,265
"franco_allemand";0,406;0,477;0,011;0,482;0,344;0,504
"fourniture";0,406;0,32;0,452;0,406;0,059;0,504
"formation";0,406;0,477;0,452;0,025;0,636;0,504
"fonder";0,406;0,32;0,452;0,406;0,059;0,504
"faute";0,406;0,477;0,375;0,406;0,059;0,504
"exécuter";0,406;0,477;0,452;0,482;0,059;0,504
"dépenser";0,406;0,32;0,452;0,406;0,059;0,504
"découler";0,406;0,477;0,375;0,406;0,059;0,504
"doter";0,406;0,32;0,452;0,482;0,636;0,504
"différer";0,406;0,32;0,375;0,482;0,344;0,504
"différend";0,406;0,477;0,011;0,406;0,636;0,504
"coût";0,406;0,477;0,452;0,406;0,001;0,504
"convenu";0,406;0,477;0,375;0,406;0,636;0,265
"construction";0,406;0,32;0,452;0,025;0,344;0,504
"conscience";0,406;0,007;0,452;0,482;0,344;0,504
"confirmation";0,406;0,477;0,452;0,025;0,344;0,265
"conduite";0,406;0,32;0,452;0,482;0,636;0,504
"concevoir";0,406;0,32;0,375;0,406;0,636;0,504
"concerter";0,406;0,32;0,452;0,482;0,636;0,504
"collaboration";0,406;0,32;0,452;0,406;0,059;0,504
"ci_jointe";0,406;0,32;0,375;0,406;0,636;0,504
"champ";0,406;0,477;0,011;0,406;0,636;0,504
"certitude";0,406;0,32;0,452;0,406;0,059;0,504
"brièvement";0,406;0,32;0,375;0,482;0,344;0,504
"bilatéral";0,406;0,477;0,452;0,406;0,001;0,504
"autorisation";0,406;0,477;0,452;0,406;0,001;0,504
"assigner";0,406;0,32;0,452;0,406;0,059;0,504
"appuyer";0,406;0,32;0,452;0,482;0,636;0,504
"approcher";0,406;0,477;0,375;0,482;0,636;0,504
"annoncer";0,406;0,477;0,452;0,482;0,059;0,504
"ajuster";0,406;0,477;0,452;0,482;0,059;0,504
"acte";0,406;0,477;0,452;0,406;0,059;0,265
"absolu";0,406;0,477;0,452;0,482;0,636;0,265
"*pers_Bowie,_Robert_Richardson";0,636;0,686;0,018;0,636;0,59;0,703
"*pers_Acheson,_Dean";0,234;0,565;0,542;0,234;0,443;0,588
"*pers_Aron,_Alexis";0,234;0,565;0,166;0,501;0,443;0,588
"*place_";0,493;0,223;0,107;0,493;0,612;0,633
