"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"engager";0,041;0,944;0,568;0,593;0,063;0,913
"consultatif";0,475;0,171;0,163;0,863;0,316;0,071
"commission";0,337;0,761;0,464;0,493;0,31;0,633
"adresser";0,493;0,033;0,464;0,891;0,612;0,151
"aboutir";0,017;0,041;0,415;0,013;0,074;0,266
"territoire";0,132;0,198;0,009;0,132;1;0,043
"suivant";0,033;0,855;0,044;0,413;0,325;0,086
"possibilité";0,683;0,094;0,908;0,237;0;0,499
"participation";0,041;0,944;0,168;0,013;0,352;0,443
"manière";0,197;0,442;0,065;0,826;0,001;0,1
"suite";0,935;0,855;0,22;0,512;0,705;1
"seul";0,027;0,772;0,645;0,034;0,138;0,345
"pied";0,091;0,655;0,126;0,086;0,044;0,173
"italien";0,11;0,171;0,019;0,863;0,316;0,071
"international";0,135;0,772;0,279;0,96;0,882;0,463
"fonction";0,075;0,128;0,464;0,891;0,31;0,001
"fois";0,075;0,128;0,464;0,132;0,001;0,151
"expert";0,159;0;0,203;0,159;0,841;1
"document";0,891;0,033;0,305;0,891;0,205;0,151
"pratique";0,191;0,263;0,304;0,191;0,019;0,88
"opinion";0,11;0,01;0,148;0,29;0,524;0,198
"initiative";0,11;0,171;0,148;0;0,855;0,198
"cour";0,11;0,171;0,655;0,863;0,316;0
"connaître";0,197;0,363;0,297;0,084;0,01;0,1
"cadre";0,337;0,128;0,107;0,02;0,011;0,151
"résulter";0,075;0,542;0,305;0,132;0,31;0,151
"recevoir";0,493;0,542;0,884;0,891;0,31;0,151
"moment";0,164;0,145;0,726;0,935;0,096;0,086
"mois";0,033;0,855;0,054;0,935;0,002;0,391
"intervenir";0,11;0,171;0,019;0,11;0,145;0,44
"exposer";0,197;0,442;0,168;0,197;0,642;0,913
"envoyer";0;0,694;0,85;0,376;0,009;0,304
"envisager";0,05;0,962;0,346;0,056;0,524;0,822
"crédit";0,132;0,797;0,173;0,563;0;0,225
"bretagne";0,401;0,148;0,535;0,01;0,22;0,173
"sujet";0,33;0,944;0,568;0,197;0,642;0,443
"résultat";0,05;0,094;0,908;0,715;0,005;0,822
"producteur";0,191;0,263;0,033;0,191;0,167;0,88
"pari";0,337;0,542;0,107;0,493;0,011;0,633
"organisme";0,159;0,335;0,203;0,588;0,27;1
"janvier";0,159;0,904;0,418;0,159;0,004;0,257
"coopération";0,075;0,542;0,107;0,02;0,076;0,633
"élaboration";0,05;0,363;0,346;0,254;0,524;0,822
"tâche";0,062;0,052;0,091;0,782;0,022;0,563
"souveraineté";0,159;0,228;0,817;0;0,483;0,257
"solution";0,132;0,198;0,536;0,028;0,391;0,225
"règlement";0,159;0,228;0,418;0,129;0,483;0,257
"représenter";0,062;0,11;0,991;0,188;0,022;0,563
"parvenir";0,935;0,855;0,005;0,935;0,289;0,086
"notamment";0,075;0,128;0,464;0,132;0,011;0,633
"nato";0,23;0,837;0,277;0,23;0,006;0,747
"milliard";0,277;0,352;0,325;0,907;0,001;0,381
"groupe";0,091;0,001;0,126;0,401;0,22;0,71
"dépense";0,23;0,304;0,277;0,23;0;0,747
"décider";0,164;0,316;0,662;0,512;0,325;0,086
"droit";0,159;0,904;0,064;0,665;0,841;1
"créer";0,062;0,475;0,401;0,035;0,12;0,563
"constituer";0,062;0,863;0,388;0,603;0,12;0,132
"belge";0,159;0,041;0,418;0,588;0,483;0,257
"actuellement";0,683;0,416;0,123;0,254;0,937;0,115
"éviter";0,041;0,363;0,168;0,826;0,642;0,324
"unique";0,159;0,228;0,203;0,001;0,27;0,257
"tonne";0,334;0,409;0,382;0,334;0;0,437
"répondre";0,237;0,962;0,476;0,254;0,524;0,115
"rester";0,164;0,855;0,662;0,413;0,096;0,086
"modification";0,11;0,702;0,019;0,863;0,316;0,44
"importance";0,091;0,148;0,23;0,401;0,005;0,71
"déconcentration";0,334;0,409;0,001;0,71;0,271;0,437
"disposer";0,075;0,542;0,884;0,132;0,076;0,151
"date";0,132;0,198;0,173;0,563;0,01;0,043
"cas";0,863;0,702;0,163;0,475;0,524;0,198
"allié";0,406;0,477;0,375;0,025;0,344;0,504
"adenauer";0,728;0,797;0,536;0,028;0,086;0,225
"vie";0,11;0,171;0,617;0,052;0,023;0,198
"sentiment";0,01;0,617;0,126;0,991;0,662;0,173
"sarrois";0,334;0,409;0,047;0,334;0,271;0,02
"réunir";0,075;0,542;0,884;0,891;0,612;0,001
"régler";0,23;0,837;0,014;0,23;0,494;0,334
"réarmement";0,277;0,352;0,325;0;0,901;0,381
"présent";0,991;0,655;0,535;0,991;0,22;0,173
"nouvelle";0,132;0,797;0,173;0,028;0,086;0,225
"méthode";0,132;0,198;0,536;0,728;0,01;0,225
"montrer";0,075;0,542;0,884;0,337;0;0,151
"loi";0,132;0,198;0,173;0,563;0,086;0,002
"fonds";0,785;0,975;0,939;0,191;0,019;0,293
"entrée";0,159;0,228;0,418;0,665;0,483;0,001
"cause";0,475;0,547;0,617;0,11;0,145;0,44
"caractère";0,091;0,655;0,23;0,401;0,22;0,71
"avis";0,091;0,655;0,535;0,086;0,22;0,173
"atteindre";0,091;0,617;0,126;0,388;0;0,173
"approvisionnement";0,132;0,797;0,108;0,563;0,086;0,225
"strasbourg";0,926;0,304;0,277;0,034;0,171;0,107
"signature";0,091;0,617;0;0,991;0,255;0,173
"sentir";0,401;0,148;0,771;0,991;0,005;0,173
"semaine";0,401;0,655;0,035;0,991;0,726;0,173
"rôle";0,337;0,223;0,464;0,493;0,31;0,151
"recommander";0,334;0,409;0,382;0,334;0,169;0,02
"rappeler";0,062;0,052;0,991;0,782;0,413;0,563
"paraître";0,075;0,761;0,884;0,891;0,011;0,151
"nombre";0,132;0,198;0,536;0,563;0,086;0,346
"mai";0,475;0,702;0,617;0,052;0,524;0,198
"limite";0,132;0,797;0,173;0,563;0,01;0,346
"finance";0,11;0,702;0,655;0,11;0,002;0,797
"contrôle";0,132;0,198;0,108;0,728;0,391;0,893
"confier";0,041;0,944;0,065;0,084;0,642;0,062
"cartel";0,334;0,409;0,001;0,334;0,891;0,437
"armée";0,277;0,352;0,325;0;0,901;0,381
"affecter";0,475;0,547;0,148;0,475;0,002;0,198
"étude";0,159;0,904;0,817;0,159;0;0,257
"établissement";0,11;0,702;0,148;0,29;0,145;0,44
"washington";0,991;0,148;0,126;0,086;0,044;0,173
"système";0,23;0,304;0,277;0,034;0,087;0,334
"répartition";0,334;0,409;0,578;0,71;0,891;0,437
"reconnaître";0,062;0,29;0,086;0,782;0,413;0,132
"présenter";0,05;0,962;0,346;0,715;0,005;0,499
"propre";0,11;0,171;0,148;0;0,145;0,198
"progrès";0,23;0,304;0,921;0,034;0,494;0,334
"personnel";0,728;0,198;0,71;0,203;0,391;0,225
"partir";0,091;0,617;0,771;0,991;0,044;0,71
"maintenir";0,11;0,547;0,148;0,863;0,023;0,797
"laisser";0,132;0,198;0,536;0,028;1;0,893
"fonctionnement";0,277;0,682;0,761;0,186;0,901;0,381
"final";0,401;0,617;0,23;0,401;0,662;0,536
"exercer";0,159;0,228;0,418;0,665;0,27;0,257
"discuter";0,891;0,542;0,005;0,337;0,612;0,633
"différent";0,132;0,797;0,173;0,203;0,01;0,225
"copie";0;0,108;0,814;0,197;0,02;0,1
"continuer";0,159;0,002;0,203;0,665;0,27;0,257
"attendre";0,401;0,617;0,535;0,086;0,22;0,173
"association";0,191;0,263;0,939;0,005;0,671;0,293
"annexe";0,091;0,655;0,23;0,401;0,662;0,536
"amérique";0,191;0,263;0,237;0,005;0,167;0,293
"transitoire";0,159;0,228;0;0,665;0,483;0,257
"terminer";0,075;0,761;0,057;0,891;0,31;0,151
"souhaiter";0,991;0,617;0,771;0,388;0,662;0,173
"relèvement";0,132;0,198;0,173;0,203;0,001;0,225
"rapidement";0,446;0,975;0,939;0,191;0,671;0,88
"particulièrement";0,11;0,112;0,617;0,475;0,023;0,198
"participant";0,191;0,263;0,939;0,073;0,595;0,176
"paix";0,159;0,904;0,817;0,001;0,483;0,257
"occasion";0,075;0,761;0,464;0,132;0,31;0,633
"nécessité";0,11;0,171;0,148;0,29;0,002;0,797
"matin";0,728;0,797;0,536;0,132;1;0,346
"fondamental";0,665;0,228;0,817;0,665;0,004;0,257
"délai";0,11;0,702;0,617;0,29;0,145;0,797
"déclaration";0,11;0,702;0,163;0,29;0,855;0,797
"direct";0,159;0,228;0,817;0,001;0,841;0,257
"convention";0,159;0,228;0,004;0,665;0,483;0,257
"contribuer";0,665;0,228;0,203;0,129;0,045;0,257
"constitution";0,401;0,148;0,771;0,086;0,726;0,536
"concentration";0,406;0,477;0,011;0,406;0,636;0,504
"assurance";0,891;0,761;0,464;0,337;0,31;0,633
"unité";0,665;0,904;0,418;0,588;0,841;0,257
"titre";0,891;0,128;0,884;0,493;0,076;0,151
"suivre";0,237;0,962;0,077;0,254;0,005;0,115
"résolution";0,132;0,198;0,173;0,728;0,001;0,893
"règle";0,277;0,352;0,111;0,186;0,901;0,381
"responsabilité";0,132;0,797;0,173;0,728;0,01;0,893
"rapide";0,337;0,128;0,107;0,002;0,31;0,633
"préparer";0,05;0,077;0,018;0,683;0,131;0,822
"peuple";0,132;0,198;0,173;0;1;0,893
"octobre";0,132;0,44;0,173;0,563;0,01;0,893
"mission";0,132;0,198;0,71;0,728;0,086;0,346
"liaison";0,277;0,352;0,325;0,907;0,001;0,381
"juillet";0,23;0,304;0,277;0,23;0,494;0
"faciliter";0,159;0,904;0,817;0,665;0,004;0,257
"exécutif";0,907;0,682;0,325;0,907;0,322;0,381
"expliquer";0,785;0,975;0,939;0,785;0,167;0,293
"exiger";0,132;0,797;0,71;0,728;0,01;0,225
"examiner";0,062;0,475;0,388;0,004;0,935;0,132
"emprunt";0,406;0,477;0,452;0,406;0,001;0,504
"désigner";0,191;0,975;0,939;0,191;0,671;0,011
"domaine";0,23;0,304;0,921;0,31;0,087;0,334
"commande";0,334;0,409;0,382;0,334;0;0,437
"ajouter";0,091;0,655;0,535;0,401;0;0,173
"équipement";0,11;0,171;0,148;0,475;0;0,198
"économie";0,277;0,08;0,325;0,277;0,035;0,381
"utile";0,863;0,547;0,148;0,052;0,855;0,198
"travailleur";0,406;0,477;0,375;0,406;0,059;0,504
"supranational";0,277;0,352;0,325;0,011;0,901;0,599
"supplémentaire";0,191;0,263;0,237;0,785;0,019;0,176
"suggérer";0,159;0,228;0,817;0,588;0,004;0,257
"soir";0,129;0,228;0,418;0,588;0,483;0,257
"rédaction";0,159;0,335;0;0,665;0,109;0,257
"reconnaissant";0,02;0,761;0,464;0,337;0,8;0,151
"prêt";0,159;0,228;0,064;0,159;0,004;0,257
"prier";0,863;0,547;0,617;0,475;0,524;0,797
"placer";0,091;0,148;0,535;0,01;0,044;0,173
"opération";0,334;0,409;0,382;0,71;0,009;0,437
"modifier";0,23;0,837;0,199;0,926;0,494;0,334
"mentir";0,191;0,975;0,304;0,785;0,167;0,293
"mccloy";0,71;0,409;0,047;0,71;0,271;0,437
"matériel";0,23;0,304;0,277;0,926;0;0,334
"luxembourgeois";0,23;0,15;0,014;0,926;0,171;0,334
"long";0,132;0,797;0,173;0,132;0;0,893
"instruction";0,334;0,508;0,578;0,334;0,891;0,437
"information";0,23;0,15;0,921;0,926;0,494;0,334
"grave";0,191;0,975;0,237;0,446;0,019;0,293
"fournir";0,159;0,228;0,817;0,159;0;0,257
"exprimer";0,11;0,171;0,019;0,29;0,524;0,198
"examen";0,062;0,052;0,388;0,283;0,935;0,728
"estimer";0,132;0,44;0,71;0,203;0,391;0,225
"esprit";0,159;0,228;0,203;0,013;0,27;1
"entretien";0,446;0,975;0,939;0,446;0,595;0,293
"empêcher";0,191;0,975;0,237;0,073;0,167;0,293
"développer";0,11;0,702;0,148;0,29;0,002;0,198
"décret";0,23;0,837;0,277;0,23;0,494;0,004
"début";0,091;0,163;0,771;0,991;0,255;0,108
"confirmer";0,926;0,304;0,277;0,23;0,006;0,747
"clause";0,159;0,904;0;0,159;0,483;0,257
"chef";0,091;0,019;0,771;0,991;0,726;0,71
"charbonnage";0,191;0,975;0,304;0,191;0,019;0,293
"atlantique";0,23;0,304;0,277;0,31;0,006;0,334
"appeler";0,091;0,163;0,126;0,991;0,044;0,71
"aider";0,191;0,263;0,939;0,446;0,019;0,293
"évident";0,11;0,171;0,655;0;0,855;0,198
"voie";0,401;0,148;0,126;0,086;0,005;0,173
"veiller";0,191;0,263;0,237;0,073;0,019;0,293
"utiliser";0,091;0,617;0,126;0,388;0;0,173
"tarif";0,334;0,409;0,047;0,71;0,891;0,437
"sein";0,337;0,761;0,464;0,493;0,8;0,633
"révision";0,23;0,304;0,277;0,31;0,087;0,747
"rythme";0,23;0,304;0,277;0,926;0;0,334
"préoccupation";0,11;0,171;0,163;0,29;0,145;0,198
"procédure";0,191;0,263;0,304;0,446;0,167;0,293
"ouvrir";0,11;0,547;0,163;0,29;0,855;0,198
"nature";0,091;0,617;0,126;0,388;0;0,173
"marshall";0,926;0,304;0,277;0,23;0;0,334
"justice";0,132;0,797;0,536;0,728;0,391;0,043
"juin";0,23;0,837;0,921;0,23;0,087;0,747
"instituer";0,191;0,237;0,939;0,191;0,167;0,88
"importation";0,191;0,263;0,939;0,191;0;0,293
"immédiatement";0,091;0,655;0,535;0,991;0,005;0,173
"face";0,091;0,148;0,126;0,01;0,044;0,71
"définir";0,11;0,171;0,655;0,005;0,524;0,198
"destiner";0,191;0,237;0,939;0,785;0,167;0,293
"attirer";0,091;0,148;0,535;0,991;0,005;0,536
"absence";0,11;0,112;0,655;0,475;0,145;0,198
"égalité";0,191;0,975;0,033;0,785;0,595;0,88
"séparer";0,132;0,198;0,173;0,028;1;0,043
"suggestion";0,563;0,797;0,536;0,728;0,391;0,225
"spécial";0,159;0,335;0,418;0,665;0,27;0,257
"sauvegarde";0,334;0,409;0,047;0,71;0,891;0,437
"revenir";0,563;0,44;0,71;0,563;0,086;0,225
"responsable";0,191;0,263;0,237;0,073;0,019;0,293
"préparation";0,11;0,702;0,148;0,863;0;0,198
"préciser";0,159;0,228;0,064;0,665;0,27;1
"poser";0,091;0,655;0,23;0,401;0,22;0,71
"permanent";0,277;0,352;0,325;0,186;0,035;0,381
"parler";0,991;0,148;0,535;0,388;0,044;0,173
"outre_mer";0,277;0,352;0,761;0,277;0,322;0,054
"obstacle";0,159;0,904;0,418;0,588;0,27;0,257
"luxembourg";0,277;0,682;0,761;0,907;0,901;0,599
"indochine";0,406;0,477;0,452;0,482;0,059;0,504
"honneur";0,11;0,702;0,148;0,11;0;0,44
"fermer";0,191;0,263;0,237;0,446;0,001;0,293
"dépendre";0,23;0,304;0,277;0,31;0,006;0,334
"courant";0,475;0,547;0,148;0,475;0,002;0,198
"connaissance";0,563;0,797;0,71;0,132;0,01;0,893
"circonstance";0,191;0,263;0,304;0,446;0,167;0,293
"avenir";0,475;0,171;0,019;0,052;0,316;0,198
"approuver";0,191;0,263;0,237;0,785;0,019;0,176
"apparaître";0,401;0,148;0,126;0,086;0,005;0,173
"administration";0,665;0,228;0,203;0,665;0;0,257
"égard";0,191;0,237;0,304;0,191;0,671;0,88
"vote";0,132;0,198;0,536;0,203;1;0,346
"union";0,475;0,702;0,163;0,863;0,316;0,44
"transport";0,334;0,409;0,382;0,334;0;0,437
"soulever";0,132;0,797;0,536;0,728;1;0,346
"sembler";0,563;0,797;0,71;0,728;0,391;0,893
"réserve";0,926;0,304;0,199;0,23;0,087;0,334
"réorganisation";0,334;0,508;0,578;0,334;0,169;0,437
"réflexion";0,23;0,837;0,277;0,31;0,494;0,747
"réduction";0,334;0,409;0,382;0,334;0;0,437
"porter";0,563;0,198;0,71;0,563;0,086;0,346
"mener";0,191;0,975;0,237;0,446;0,019;0,293
"matière";0,926;0,304;0,921;0,926;0,087;0,334
"main_d_oeuvre";0,406;0,477;0,375;0,406;0,059;0,504
"lundi";0,277;0,352;0,111;0,277;0,322;0,599
"joint";0,23;0,15;0,199;0,926;0,732;0,334
"interministériel";0,191;0,975;0,033;0,191;0,167;0,293
"idée";0,785;0,263;0,237;0,005;0,671;0,293
"heure";0,563;0,198;0,173;0,563;0,001;0,893
"façon";0,191;0,975;0,237;0,785;0,001;0,293
"expérience";0,191;0,263;0,237;0,446;0,019;0,88
"espérer";0,563;0,797;0,71;0,203;0,391;0,225
"entretenir";0,132;0,797;0,108;0,563;0,391;0,893
"engagement";0,191;0,263;0,033;0,191;0,167;0,88
"effectif";0,277;0,352;0,325;0,907;0,001;0,381
"dévoué";0;0,263;0,237;0,191;0,671;0,293
"déterminer";0,11;0,547;0,655;0,863;0,145;0,198
"devenir";0,159;0,904;0,203;0,129;0,045;0,257
"danger";0,665;0,904;0,203;0,129;0,27;0,257
"conformément";0,132;0,198;0,71;0,203;0,391;0,002
"concurrence";0,406;0,32;0,452;0,406;0,059;0,504
"collaborateur";0,23;0,837;0,277;0,23;0;0,334
"budget";0,23;0,304;0,921;0,23;0;0,334
"ami";0,31;0,304;0,277;0,31;0,494;0,334
"1er";0,277;0,352;0,325;0,277;0,035;0,054
"volonté";0,159;0,228;0,817;0,013;0,27;0,257
"transformation";0,406;0,477;0,452;0,482;0,059;0,504
"tiers";0,277;0,682;0,761;0,907;0,322;0,381
"sécurité";0,23;0,304;0,277;0,926;0;0,334
"succès";0,087;0,409;0,382;0,71;0,891;0,437
"social";0,277;0,08;0,761;0,277;0,322;0,381
"servir";0,132;0,797;0,173;0,728;0,001;0,225
"risquer";0,563;0,797;0,173;0,203;0,086;0,225
"ration";0,482;0,477;0,452;0,406;0,059;0,504
"péréquation";0,23;0,837;0,199;0,31;0,732;0,334
"profession";0,334;0;0,382;0,334;0,891;0,437
"passer";0,191;0,237;0,237;0,446;0,167;0,293
"nom";0,159;0,228;0,817;0,001;0,841;0,257
"midi";0,028;0,44;0,71;0,563;0,086;0,893
"mayer";0,907;0,352;0,111;0,907;0,901;0,381
"intégration";0,191;0,263;0,237;0;0,671;0,293
"interlocuteur";0,191;0,263;0,939;0,073;0,671;0,88
"insister";0,159;0,904;0,203;0,159;0,004;0,257
"immédiat";0,159;0,335;0,203;0,588;0,045;0,257
"hirsch";0,926;0,837;0,921;0,926;0,494;0,334
"garantie";0,23;0,304;0;0,23;0,732;0,334
"fait";0,159;0,041;0,817;0,588;0,841;0,257
"etc";0,277;0,682;0,325;0,186;0,322;0,381
"entrer";0,23;0,304;0,277;0,034;0,494;0,747
"départ";0,446;0,263;0,939;0,785;0,671;0,88
"déclarer";0,277;0,352;0,111;0,277;0,322;0,599
"décembre";0,159;0,228;0,064;0,159;0,004;0,257
"débat";0,191;0,263;0,237;0,073;0,167;0,88
"directement";0,132;0,44;0,173;0,203;1;0,346
"courir";0,191;0,975;0,939;0,446;0,167;0,293
"convaincre";0,23;0,837;0,277;0,31;0,494;0,747
"conclure";0,23;0,304;0,014;0,926;0,494;0,334
"complet";0,926;0,304;0,921;0,31;0,494;0,334
"charge";0,23;0,304;0,277;0,926;0;0,334
"bonn";0,71;0,409;0,047;0,71;0,271;0,437
"belgique";0,406;0,32;0,375;0,406;0,636;0,504
"bas";0,406;0,477;0,375;0,482;0,636;0,504
"arrêter";0,159;0,904;0,064;0,665;0,27;0,257
"appartenir";0,563;0,44;0,173;0,203;0,391;0,225
"anglais";0,446;0,263;0,237;0,446;0,167;0,293
"allocation";0,406;0,477;0,452;0,406;0,001;0,504
"agréer";0,277;0,682;0,761;0,277;0,901;0,054
"étendre";0,159;0,904;0,203;0,588;0,045;1
"élection";0,191;0,263;0,237;0;0,137;0,176
"échange";0,23;0,837;0,921;0,23;0,006;0,334
"véritable";0,191;0,263;0,237;0,446;0,001;0,293
"utilisation";0,23;0,304;0,277;0,23;0;0,747
"total";0,191;0,263;0,237;0,785;0;0,293
"supérieur";0,159;0,904;0,817;0,159;0;0,257
"soudure";0,71;0,409;0,382;0,334;0,009;0,437
"session";0,23;0,837;0,277;0,926;0,732;0,004
"secrétaire";0,23;0,304;0,277;0,23;0,087;0,004
"salaire";0,277;0,682;0,325;0,907;0,035;0,381
"réserver";0,132;0,797;0,009;0,728;0,391;0,893
"régime";0,23;0,837;0,199;0,31;0,732;0,334
"réel";0,191;0,263;0,237;0,073;0,019;0,293
"risque";0,159;0,228;0,203;0,001;0,841;1
"reconstruction";0,23;0,304;0,277;0,23;0;0,334
"ratification";0,926;0,837;0,199;0,926;0,171;0,747
"portée";0,23;0,304;0,199;0,31;0,494;0,334
"opposition";0,277;0,352;0,761;0,011;0,901;0,381
"ligne";0,277;0,352;0,325;0,277;0;0,381
"juger";0,926;0,837;0,921;0,31;0,732;0,334
"guerre";0,23;0,837;0,277;0,001;0,732;0,334
"financer";0,334;0,409;0,382;0,334;0,009;0,437
"expression";0,277;0,352;0,761;0,186;0,322;0,381
"existence";0,277;0,682;0,325;0,907;0,035;0,381
"essentiellement";0,191;0,263;0,939;0,785;0,001;0,293
"détermination";0,406;0,477;0,452;0,025;0,636;0,504
"désirer";0,334;0,409;0,382;0,71;0,009;0,437
"définitif";0,191;0,263;0,033;0,785;0,167;0,293
"difficile";0,159;0,904;0,817;0,665;0,045;1
"contrepartie";0,191;0,263;0,237;0,446;0,001;0,293
"consulter";0,334;0,032;0,382;0,334;0,891;0,437
"consultation";0,406;0,477;0,375;0,406;0,059;0,504
"confidentiel";0,926;0,15;0,921;0,926;0,732;0,334
"concours";0,191;0,02;0,237;0,785;0,167;0,293
"compétence";0,191;0,02;0,304;0,785;0,595;0,293
"composer";0,277;0,08;0,325;0,907;0,322;0,381
"commercial";0,23;0,837;0;0,23;0,732;0,334
"coke";0,277;0,08;0,761;0,277;0,322;0,381
"benelux";0,23;0,304;0,199;0,034;0,732;0,334
"avril";0,277;0,352;0,761;0,277;0,901;0,001
"autonome";0,23;0,304;0,921;0,926;0,006;0,334
"arriver";0,665;0,904;0,418;0,588;0,841;0,257
"appui";0,23;0,304;0,199;0,034;0,732;0,334
"accroissement";0,277;0,352;0,325;0,277;0;0,381
"évolution";0,785;0,975;0,237;0,073;0,671;0,293
"épargner";0,406;0,477;0,452;0,406;0,001;0,504
"éliminer";0,406;0,477;0,452;0,025;0,636;0,504
"élargir";0,785;0,975;0,237;0,446;0,595;0,176
"vigueur";0,406;0,477;0,011;0,482;0,344;0,504
"télégramme";0,31;0,837;0,277;0,926;0,494;0,334
"supranationale";0,277;0,352;0,325;0;0,215;0,381
"saisir";0,334;0,409;0,578;0,71;0,169;0,437
"récent";0,334;0,508;0,047;0,334;0,891;0,437
"rené";0,406;0,477;0,011;0,482;0,344;0,504
"rencontrer";0,907;0,352;0,761;0,186;0,901;0,381
"rechercher";0,23;0,304;0,921;0,001;0,732;0,334
"précis";0,191;0,263;0,939;0,785;0,001;0,293
"procédé";0,277;0,682;0,325;0,277;0,001;0,381
"priorité";0,334;0,409;0,382;0,71;0,009;0,437
"place";0,191;0,237;0,304;0,785;0,671;0,293
"perspective";0,23;0,304;0,277;0,001;0,494;0,334
"parlementaire";0,277;0,352;0,325;0,011;0,901;0,599
"nommer";0,191;0,263;0,237;0,191;0,595;0
"naturellement";0,186;0,352;0,325;0,186;0,901;0,381
"nation";0,23;0,837;0,199;0,926;0,494;0,334
"marquer";0,159;0,041;0,203;0,129;0,483;1
"mandat";0,23;0,837;0,277;0,034;0,171;0,107
"maintien";0,406;0,32;0,452;0,482;0,636;0,504
"limité";0,23;0,304;0,921;0,926;0,087;0,747
"intégrer";0,926;0,304;0,277;0,001;0,732;0,334
"intervention";0,406;0,477;0,375;0,406;0,059;0,504
"industriel";0,23;0,837;0,921;0,926;0,087;0,334
"impossible";0,31;0,837;0,277;0,926;0,732;0,747
"homme";0,277;0,352;0,325;0,186;0,035;0,381
"heureux";0,665;0,335;0,817;0,665;0,841;1
"entendre";0,907;0,352;0,761;0,011;0,215;0,381
"doute";0,191;0,237;0,939;0,191;0,167;0,88
"division";0,277;0,352;0,325;0,011;0,322;0,381
"couvrir";0,191;0,263;0,304;0,191;0,001;0,293
"contraire";0,785;0,263;0,237;0,785;0,001;0,293
"contenir";0,334;0,409;0,382;0,334;0;0,437
"consacrer";0,23;0,15;0,277;0,926;0,087;0,334
"comporter";0,277;0,352;0,325;0,277;0,001;0,599
"communiqué";0,907;0,08;0,325;0,186;0,215;0,381
"communication";0,406;0,007;0,452;0,406;0,636;0,504
"commissaire";0,406;0,32;0,452;0,406;0,059;0,504
"commerce";0,406;0,32;0,375;0,406;0,636;0,504
"chiffre";0,23;0,837;0,277;0,926;0,006;0,334
"blé";0,482;0,477;0,452;0,406;0,059;0,504
"balancer";0,23;0,304;0,277;0,31;0,006;0,334
"avance";0,277;0,352;0,761;0,907;0,322;0,599
"attitude";0,277;0,08;0,325;0,186;0,901;0,381
"assister";0,159;0,041;0,817;0,159;0,045;0,257
"août";0,785;0,263;0,237;0,191;0,595;0
"adresse";0,446;0,975;0,237;0,785;0,167;0,293
"achèvement";0,334;0,508;0,578;0,71;0,891;0,437
"accroître";0,277;0,352;0,325;0,907;0,001;0,381
"accompagner";0,785;0,237;0,237;0,446;0,671;0,293
"étroit";0,277;0,682;0,325;0,186;0,322;0,381
"étape";0,334;0,508;0,382;0,002;0,271;0,437
"équilibre";0,159;0,228;0,203;0,159;0;1
"élément";0,277;0,682;0,325;0,907;0,035;0,381
"viser";0,191;0,263;0,033;0,785;0,671;0,88
"vertu";0,23;0,837;0,199;0,926;0,494;0,334
"uni";0,334;0,409;0,382;0,002;0,891;0,437
"ultérieur";0,191;0,263;0,304;0,446;0,167;0,293
"sûr";0,926;0,837;0,277;0,23;0,494;0,107
"syndical";0,334;0,508;0,001;0,334;0,271;0,437
"soutenir";0,277;0,352;0,325;0,011;0,322;0,381
"siège";0,277;0,682;0,111;0,277;0,215;0,054
"septembre";0,665;0,228;0,203;0,129;0,109;0,001
"robert";0,277;0,682;0,761;0,186;0,901;0,381
"puissance";0,277;0,682;0,111;0,186;0,215;0,381
"produire";0,23;0,304;0,277;0,23;0;0,334
"procéder";0,23;0,837;0,277;0,23;0,494;0,004
"privé";0,277;0,08;0,761;0,277;0,322;0,381
"mécanique";0,406;0,477;0,452;0,482;0,059;0,504
"montant";0,277;0,352;0,761;0,907;0,035;0,381
"monde";0,23;0,304;0,277;0,034;0,087;0,334
"minerai";0,23;0,837;0;0,23;0,732;0,334
"manquer";0,23;0,304;0,277;0,23;0;0,747
"livraison";0,277;0,352;0,325;0,277;0;0,381
"limiter";0,277;0,352;0,325;0,907;0,001;0,381
"large";0,159;0,904;0,203;0,013;0,27;0,257
"jouer";0,23;0,15;0,277;0,034;0,732;0,334
"italie";0,191;0,975;0,033;0,785;0,595;0,88
"intérieur";0,191;0,263;0,237;0,785;0;0,293
"indépendamment";0,277;0,352;0,325;0,011;0,322;0,381
"imposer";0,277;0,682;0,325;0,186;0,322;0,381
"hollandais";0,406;0,32;0,452;0,482;0,636;0,504
"harriman";0,406;0,32;0,452;0,406;0,059;0,504
"formule";0,23;0,304;0;0,926;0,732;0,334
"favorable";0,334;0,032;0,382;0,71;0,891;0,437
"entièrement";0,277;0,08;0,325;0,907;0,322;0,381
"effectuer";0,334;0,409;0,382;0,71;0,009;0,437
"département";0,23;0,008;0,199;0,23;0,732;0,334
"douanier";0,23;0,304;0;0,926;0,732;0,334
"dollar";0,406;0,477;0,452;0,406;0,001;0,504
"direction";0,23;0,15;0,277;0,034;0,732;0,334
"demeurer";0,277;0,682;0,325;0,186;0,322;0,381
"cordialement";0,025;0,477;0,452;0,406;0,636;0,504
"coordination";0,334;0,409;0,382;0,334;0;0,437
"continent";0,277;0,682;0,325;0;0,215;0,381
"constant";0,23;0,304;0,277;0,926;0;0,334
"compromettre";0,406;0,477;0,452;0,482;0,059;0,504
"commissariat";0,277;0,682;0,325;0,277;0,001;0,381
