"Harriman-William-Averell";1.355;-1.936;1.787;-1.159
"Finnet-Paul-C.E.";12.222;-5.167;-3.873;0.539
"Regan";-1.087;-1.186;-0.889;10.458
"Watts-Philip-H.";-8.315;-5.693;-4.319;59.816
"Hirsch-Etienne";-2.348;-4.6;-1.689;27.617
"Bidault-Georges";-7.615;-7.902;29.853;0.212
"Eden-Anthony";-0.605;10.443;-4.848;-0.204
"Mayer-Daniel";-1.087;-1.186;-0.889;10.458
"Aubrun-Jules";-5.359;-2.265;-1.202;26.923
"Bonnet-Henri";-26.081;-3.613;-4.961;94.439
"Buron-Robert-Albert-Gaston";-0.581;-16.969;-4.319;54.156
"Ségalat-André";0.213;-3.569;-2.675;10.259
"Faure-Edgar-Jean";-1.253;-12.357;-0.033;26.745
"Herter-Christian-Archibald";-12.232;-9.574;-7.236;95.412
"Moch-Jules";-1.087;-1.186;-0.889;10.458
"Aron-Alexis";1.024;-10.586;-2.229;15.612
"Hoffmann-Johannes";26.829;-3.689;-6.284;-0.791
"Couve-de-Murville-Jacques-Maurice";-15.884;82.975;-13.594;-3.647
"Giacchero-Enzo";-0.815;-0.043;0.022;1.068
"Le-Vert-Paul-Maurice";20.26;-0.012;-12.695;-1.134
"Monnet-Jean";-3.443;0.564;-72.289;94.578
"De-Gasperi-Alcide";0;7.087;-4.522;-0.563
